school_cap;mean;count;std;ci95_hi;ci95_lo;interven_eff
0;47,96499997;10;1,19575378;48,70235454;47,22764541;0%
15;49,15099949;10;1,358270445;49,988569;48,31342997;0%
25;50,20399928;10;1,043287306;50,84733629;49,56066227;0%
35;51,57600045;10;0,644657262;51,97352458;51,17847633;0%
55;53,41500044;10;0,905872566;53,97360145;52,85639943;0%
0;28,55800003;10;3,370241925;30,63623997;26,47976008;20%
15;33,37099999;10;1,212072809;34,11841759;32,62358239;20%
25;34,745;10;1,842174103;35,88096588;33,60903413;20%
35;35,18900007;10;1,670312489;36,21898848;34,15901166;20%
55;40,06500006;10;1,849920665;41,2057428;38,92425731;20%
0;5,256999973;10;1,593556762;6,239657418;4,274342528;40%
15;6,179000009;10;3,330974044;8,233025646;4,124974372;40%
25;6,927999984;10;4,216298605;9,527955827;4,328044142;40%
35;9,045000039;10;4,881018178;12,05485131;6,035148764;40%
55;13,57700001;10;4,041372282;16,06908856;11,08491146;40%
0;1,314999997;10;0,742686562;1,772973316;0,857026678;60%
15;1,002999991;10;0,387041485;1,241666856;0,764333126;60%
25;1,303999999;10;0,757572155;1,771152432;0,836847566;60%
35;1,319999988;10;0,71270999;1,75948843;0,880511546;60%
55;1,516999993;10;0,889382419;2,065432454;0,968567533;60%